10001
(00000) Freq	Fast Fourier Transform
(00237) +23.60    |  -6.91508 j -0.51358
(00238) +23.70    | +12.33062 j +0.91969
(00239) +23.80    | -13.01591 j -0.97492
(00240) +23.90    |  +8.75042 j +0.65819
(00241) +24.00    |  -1.19609 j -0.09035
(00242) +24.10    |  -6.74975 j -0.51197
(00243) +24.20    | +12.06516 j +0.91895
(00244) +24.30    | -12.75254 j -0.97534
(00245) +24.40    |  +8.58889 j +0.65961
(00246) +24.50    |  -1.19593 j -0.09222
(00247) +24.60    |  -6.59110 j -0.51035
(00248) +24.70    | +11.81039 j +0.91821
(00249) +24.80    | -12.49973 j -0.97575
(00250) +24.90    |  +8.43380 j +0.66102
(00251) +25.00    |  -1.19576 j -0.09410
(00252) +25.10    |  -6.43875 j -0.50873
(00253) +25.20    | +11.56568 j +0.91746
(00254) +25.30    | -12.25684 j -0.97616
(00255) +25.40    |  +8.28476 j +0.66244
(00256) +25.50    |  -1.19559 j -0.09598
(00257) +25.60    |  -6.29232 j -0.50710
(00258) +25.70    | +11.33042 j +0.91671
(00259) +25.80    | -12.02331 j -0.97657
(00260) +25.90    |  +8.14144 j +0.66385
(00261) +26.00    |  -1.19541 j -0.09785
(00262) +26.10    |  -6.15147 j -0.50548
(00263) +26.20    | +11.10409 j +0.91595
(00264) +26.30    | -11.79859 j -0.97697
(00265) +26.40    |  +8.00350 j +0.66525
(00266) +26.50    |  -1.19524 j -0.09973
(00267) +26.60    |  -6.01589 j -0.50385
(00268) +26.70    | +10.88618 j +0.91519
(00269) +26.80    | -11.58220 j -0.97737
(00270) +26.90    |  +7.87065 j +0.66666
(00271) +27.00    |  -1.19506 j -0.10160
(00272) +27.10    |  -5.88528 j -0.50222
(00273) +27.20    | +10.67623 j +0.91443
(00274) +27.30    | -11.37368 j -0.97777
(00275) +27.40    |  +7.74260 j +0.66806
(00276) +27.50    |  -1.19487 j -0.10348
(00277) +27.60    |  -5.75938 j -0.50059
(00278) +27.70    | +10.47381 j +0.91367
(00279) +27.80    | -11.17259 j -0.97816
(00280) +27.90    |  +7.61909 j +0.66947
(00281) +28.00    |  -1.19468 j -0.10535
(00282) +28.10    |  -5.63794 j -0.49896
(00283) +28.20    | +10.27851 j +0.91290
(00284) +28.30    | -10.97856 j -0.97855
(00285) +28.40    |  +7.49990 j +0.67086
(00286) +28.50    |  -1.19449 j -0.10723
(00287) +28.60    |  -5.52071 j -0.49732
(00288) +28.70    | +10.08997 j +0.91213
(00289) +28.80    | -10.79120 j -0.97894
(00290) +28.90    |  +7.38479 j +0.67226
(00291) +29.00    |  -1.19430 j -0.10910
(00292) +29.10    |  -5.40749 j -0.49569
(00293) +29.20    |  +9.90783 j +0.91136
(00294) +29.30    | -10.61018 j -0.97932
(00295) +29.40    |  +7.27355 j +0.67365
(00296) +29.50    |  -1.19410 j -0.11097
(00297) +29.60    |  -5.29807 j -0.49405
(00298) +29.70    |  +9.73177 j +0.91058
(00299) +29.80    | -10.43518 j -0.97970
(00300) +29.90    |  +7.16599 j +0.67505
(00301) +30.00    |  -1.19390 j -0.11285
(00302) +30.10    |  -5.19226 j -0.49241
(00303) +30.20    |  +9.56150 j +0.90980
(00304) +30.30    | -10.26591 j -0.98008
(00305) +30.40    |  +7.06193 j +0.67644
(00306) +30.50    |  -1.19369 j -0.11472
(00307) +30.60    |  -5.08988 j -0.49077
(00308) +30.70    |  +9.39673 j +0.90901
(00309) +30.80    | -10.10207 j -0.98045
(00310) +30.90    |  +6.96120 j +0.67782
(00311) +31.00    |  -1.19348 j -0.11659
(00312) +31.10    |  -4.99078 j -0.48912
(00313) +31.20    |  +9.23719 j +0.90823
(00314) +31.30    |  -9.94342 j -0.98082
(00315) +31.40    |  +6.86364 j +0.67921
(00316) +31.50    |  -1.19327 j -0.11846
(00317) +31.60    |  -4.89478 j -0.48748
(00318) +31.70    |  +9.08263 j +0.90744
(00319) +31.80    |  -9.78970 j -0.98119
(00320) +31.90    |  +6.76910 j +0.68059
(00321) +32.00    |  -1.19306 j -0.12033
(00322) +32.10    |  -4.80176 j -0.48583
(00323) +32.20    |  +8.93284 j +0.90664
(00324) +32.30    |  -9.64070 j -0.98155
(00325) +32.40    |  +6.67744 j +0.68197
(00326) +32.50    |  -1.19284 j -0.12220
(00327) +32.60    |  -4.71157 j -0.48419
(00328) +32.70    |  +8.78758 j +0.90585
(00329) +32.80    |  -9.49618 j -0.98191
(00330) +32.90    |  +6.58853 j +0.68335
(00331) +33.00    |  -1.19262 j -0.12407
(00332) +33.10    |  -4.62408 j -0.48254
(00333) +33.20    |  +8.64665 j +0.90505
(00334) +33.30    |  -9.35596 j -0.98226
(00335) +33.40    |  +6.50224 j +0.68472
(00336) +33.50    |  -1.19239 j -0.12594
(00337) +33.60    |  -4.53918 j -0.48088
(00338) +33.70    |  +8.50986 j +0.90424
(00339) +33.80    |  -9.21983 j -0.98261
(00340) +33.90    |  +6.41847 j +0.68609
(00341) +34.00    |  -1.19216 j -0.12781
(00342) +34.10    |  -4.45675 j -0.47923
(00343) +34.20    |  +8.37703 j +0.90344
(00344) +34.30    |  -9.08763 j -0.98296
(00345) +34.40    |  +6.33709 j +0.68746
(00346) +34.50    |  -1.19193 j -0.12968
(00347) +34.60    |  -4.37667 j -0.47758
(00348) +34.70    |  +8.24798 j +0.90263
(00349) +34.80    |  -8.95918 j -0.98331
(00350) +34.90    |  +6.25801 j +0.68883
(00351) +35.00    |  -1.19170 j -0.13155
(00352) +35.10    |  -4.29887 j -0.47592
(00353) +35.20    |  +8.12256 j +0.90181
(00354) +35.30    |  -8.83432 j -0.98365
(00355) +35.40    |  +6.18112 j +0.69020
(00356) +35.50    |  -1.19146 j -0.13342
(00357) +35.60    |  -4.22322 j -0.47426
(00358) +35.70    |  +8.00061 j +0.90100
(00359) +35.80    |  -8.71290 j -0.98398
(00360) +35.90    |  +6.10635 j +0.69156
(00361) +36.00    |  -1.19122 j -0.13529
(00362) +36.10    |  -4.14966 j -0.47260
(00363) +36.20    |  +7.88200 j +0.90018
(00364) +36.30    |  -8.59478 j -0.98432
(00365) +36.40    |  +6.03359 j +0.69292
(00366) +36.50    |  -1.19097 j -0.13715
(00367) +36.60    |  -4.07809 j -0.47094
(00368) +36.70    |  +7.76657 j +0.89936
(00369) +36.80    |  -8.47983 j -0.98465
(00370) +36.90    |  +5.96278 j +0.69428
(00371) +37.00    |  -1.19072 j -0.13902
(00372) +37.10    |  -4.00843 j -0.46927
(00373) +37.20    |  +7.65421 j +0.89853
(00374) +37.30    |  -8.36791 j -0.98498
(00375) +37.40    |  +5.89382 j +0.69563
(00376) +37.50    |  -1.19047 j -0.14089
(00377) +37.60    |  -3.94060 j -0.46761
(00378) +37.70    |  +7.54479 j +0.89770
(00379) +37.80    |  -8.25891 j -0.98530
(00380) +37.90    |  +5.82665 j +0.69698
(00381) +38.00    |  -1.19022 j -0.14275
(00382) +38.10    |  -3.87454 j -0.46594
(00383) +38.20    |  +7.43820 j +0.89687
(00384) +38.30    |  -8.15271 j -0.98562
(00385) +38.40    |  +5.76119 j +0.69833
(00386) +38.50    |  -1.18996 j -0.14462
(00387) +38.60    |  -3.81017 j -0.46427
(00388) +38.70    |  +7.33433 j +0.89603
(00389) +38.80    |  -8.04921 j -0.98594
(00390) +38.90    |  +5.69739 j +0.69968
(00391) +39.00    |  -1.18969 j -0.14648
(00392) +39.10    |  -3.74744 j -0.46260
(00393) +39.20    |  +7.23307 j +0.89520
(00394) +39.30    |  -7.94830 j -0.98625
(00395) +39.40    |  +5.63517 j +0.70103
(00396) +39.50    |  -1.18943 j -0.14835
(00397) +39.60    |  -3.68627 j -0.46093
(00398) +39.70    |  +7.13433 j +0.89435
(00399) +39.80    |  -7.84988 j -0.98656
(00400) +39.90    |  +5.57448 j +0.70237
(00401) +40.00    |  -1.18916 j -0.15021
(00402) +40.10    |  -3.62661 j -0.45926
(00403) +40.20    |  +7.03801 j +0.89351
(00404) +40.30    |  -7.75387 j -0.98687
(00405) +40.40    |  +5.51527 j +0.70371
(00406) +40.50    |  -1.18889 j -0.15207
(00407) +40.60    |  -3.56840 j -0.45758
(00408) +40.70    |  +6.94402 j +0.89266
(00409) +40.80    |  -7.66016 j -0.98717
(00410) +40.90    |  +5.45746 j +0.70505
(00411) +41.00    |  -1.18861 j -0.15394
(00412) +41.10    |  -3.51160 j -0.45591
(00413) +41.20    |  +6.85228 j +0.89181
(00414) +41.30    |  -7.56869 j -0.98747
(00415) +41.40    |  +5.40103 j +0.70638
(00416) +41.50    |  -1.18833 j -0.15580
(00417) +41.60    |  -3.45615 j -0.45423
(00418) +41.70    |  +6.76270 j +0.89096
(00419) +41.80    |  -7.47936 j -0.98776
(00420) +41.90    |  +5.34591 j +0.70772
(00421) +42.00    |  -1.18805 j -0.15766
(00422) +42.10    |  -3.40200 j -0.45255
(00423) +42.20    |  +6.67521 j +0.89010
(00424) +42.30    |  -7.39211 j -0.98806
(00425) +42.40    |  +5.29206 j +0.70905
(00426) +42.50    |  -1.18777 j -0.15952
(00427) +42.60    |  -3.34911 j -0.45087
(00428) +42.70    |  +6.58974 j +0.88924
(00429) +42.80    |  -7.30686 j -0.98835
(00430) +42.90    |  +5.23943 j +0.71038
(00431) +43.00    |  -1.18748 j -0.16138
(00432) +43.10    |  -3.29743 j -0.44918
(00433) +43.20    |  +6.50622 j +0.88837
(00434) +43.30    |  -7.22353 j -0.98863
(00435) +43.40    |  +5.18799 j +0.71170
(00436) +43.50    |  -1.18719 j -0.16324
(00437) +43.60    |  -3.24692 j -0.44750
(00438) +43.70    |  +6.42457 j +0.88751
(00439) +43.80    |  -7.14208 j -0.98891
(00440) +43.90    |  +5.13769 j +0.71302
(00441) +44.00    |  -1.18689 j -0.16510
(00442) +44.10    |  -3.19755 j -0.44581
(00443) +44.20    |  +6.34475 j +0.88664
(00444) +44.30    |  -7.06242 j -0.98919
(00445) +44.40    |  +5.08849 j +0.71434
(00446) +44.50    |  -1.18659 j -0.16696
(00447) +44.60    |  -3.14927 j -0.44412
(00448) +44.70    |  +6.26667 j +0.88576
(00449) +44.80    |  -6.98450 j -0.98946
(00450) +44.90    |  +5.04036 j +0.71566
(00451) +45.00    |  -1.18629 j -0.16882
(00452) +45.10    |  -3.10204 j -0.44244
(00453) +45.20    |  +6.19029 j +0.88489
(00454) +45.30    |  -6.90827 j -0.98974
(00455) +45.40    |  +4.99326 j +0.71698
(00456) +45.50    |  -1.18598 j -0.17067
(00457) +45.60    |  -3.05584 j -0.44074
(00458) +45.70    |  +6.11556 j +0.88401
(00459) +45.80    |  -6.83367 j -0.99000
(00460) +45.90    |  +4.94716 j +0.71829
(00461) +46.00    |  -1.18567 j -0.17253
(00462) +46.10    |  -3.01063 j -0.43905
(00463) +46.20    |  +6.04241 j +0.88313
(00464) +46.30    |  -6.76064 j -0.99027
(00465) +46.40    |  +4.90202 j +0.71960
(00466) +46.50    |  -1.18536 j -0.17439
(00467) +46.60    |  -2.96638 j -0.43736
(00468) +46.70    |  +5.97080 j +0.88224
(00469) +46.80    |  -6.68913 j -0.99053
(00470) +46.90    |  +4.85782 j +0.72091
(00471) +47.00    |  -1.18505 j -0.17624
(00472) +47.10    |  -2.92305 j -0.43566
(00473) +47.20    |  +5.90068 j +0.88135
(00474) +47.30    |  -6.61911 j -0.99079
(00475) +47.40    |  +4.81453 j +0.72221
(00476) +47.50    |  -1.18473 j -0.17810
(00477) +47.60    |  -2.88063 j -0.43396
(00478) +47.70    |  +5.83200 j +0.88046
(00479) +47.80    |  -6.55051 j -0.99104
(00480) +47.90    |  +4.77210 j +0.72351
(00481) +48.00    |  -1.18440 j -0.17995
(00482) +48.10    |  -2.83907 j -0.43227
(00483) +48.20    |  +5.76471 j +0.87956
